,Names,Situacoes
0,A C M AGRICOLA SA,Cancelado em 19/11/2008
1,A G HOTEIS E TURISMO SA,Cancelado em 24/08/2007
2,A J RENNER SA IND E PARTIP,Cancelado em 17/06/1998
3,A M FIDALGO SA MAT DE CONSTR,Cancelado em 28/09/2008
4,A O GASPAR INDS SA,Cancelado em 14/02/2012
5,A.P. PARTICIPAÇOES SA,Cancelado em 23/12/2004
6,ABC DADOS E INFORMATICA SA,Cancelado em 05/03/1993
7,ABC SUPERMERCADOS SA,Cancelado em 17/12/2001
8,ABC XTAL MICROELETRONICA SA,Cancelado em 11/09/1997
9,ABN AMRO ARRENDAMENTO MERCANTIL SA,Cancelado em 30/09/2009
10,ABRIL SA,Cancelado em 21/12/1999
11,ABYARA PLANEJAMENTO IMOBILIÁRIO S/A,Cancelado em 28/05/2010
12,ACACIA EMPREEND HOTELEIROS SA,Cancelado em 14/02/2012
13,ACARY HOTELARIA S/A,Cancelado em 14/02/2012
14,ACOFORTE MOVEIS E EQUIP SA,Cancelado em 11/05/2004
15,ACOPALMA CIA INDL ACOS V PALMA,Cancelado em 07/08/2007
16,ACORRICO SA IND E COM,Cancelado em 28/09/2008
17,ACOS ANHANGUERA SA,Cancelado em 09/02/1994
18,ACOS DO BRASIL SA IND E COM,Cancelado em 14/12/1989
19,AÇOS FINOS PIRATINI S/A,Cancelado em 05/09/1995
20,ACOS IPANEMA (VILLARES) SA,Cancelado em 11/01/1993
21,AÇOS VILLARES SA,Cancelado em 30/12/2010
22,ACQUA SA AQUICULTURA,Cancelado em 04/11/2005
23,ACQUAMANIA MULTIPLO LAZER S/A,Cancelado em 14/02/2012
24,ACRINOR ACRILONITRILA DO NE SA,Cancelado em 21/02/2000
25,ACRUX SECURITIZADORA S/A,Cancelado em 04/02/2016
26,ACTORI PARTICIPAÇÕES SA,Cancelado em 24/04/2002
27,AÇUCAR GUARANI S/A,Cancelado em 13/08/2010
28,ACUMULADORES MOURA SA,Cancelado em 11/09/2006
29,ADCART INDUSTRIAL S. A.,Cancelado em 28/09/2008
30,ADCART PRODUTOS ADESIVOS S A..,Cancelado em 28/09/2008
31,ADEPAR ASSESSORIA ADM SERV SA,Cancelado em 02/08/1989
32,ADESENE ADESIVOS NO NORDESTE SA,Cancelado em 09/08/2005
33,ADESIVA SA IND DE EMBALAGENS,Cancelado em 28/09/2008
34,ADUBOS FERTIBOM SA,Cancelado em 28/09/2008
35,ADUBOS VIANNA SA INDUSTRIA E COMERCIO,Cancelado em 20/12/2005
36,AEROFOTO CRUZEIRO SA,Cancelado em 01/12/1992
37,AES ELPA SA,Cancelado em 05/09/2018
38,AES TIETE SA,Cancelado em 31/12/2015
39,AESA AGROPEC EQUATORIAL SA,Cancelado em 28/09/2008
40,AESA AGROPEC EQUATORIAL SA,Cancelado em 24/10/2019
41,AETATIS SECURITIZADORA S.A.,Cancelado em 24/06/2016
42,AFAL S/A IND E COM PRODS METAL,Cancelado em 14/02/2012
43,AFASA-AGUA FRIA AGROPEC SA,Cancelado em 28/09/2008
44,AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A.,Cancelado em 24/11/2017
45,AGANOR GASES E EQUIPAMENTOS SA,Cancelado em 05/10/2005
46,AGF BRASIL SEGUROS SA,Cancelado em 30/05/2005
47,AGGS INDS GRAFICAS SA,Cancelado em 04/05/1987
48,AGIP DISTRIBUIDORA SA,Cancelado em 14/01/2000
49,AGIR AGRESTE INDL DE RAFIA SA,Cancelado em 14/02/2012
50,AGISA AGROPAST E INDL SA,Cancelado em 28/09/2008
51,AGNORD IND C CONF AGUIA NE SA,Cancelado em 14/02/2012
52,AGRA EMPREENDIMENTOS IMOBILIÁRIOS S/A,Cancelado em 28/05/2010
53,AGRALE SA,Cancelado em 26/06/2000
54,AGRE EMPREENDIMENTOS IMOBILIÁRIOS SA,Cancelado em 19/07/2010
55,AGRENCO LIMITED,Cancelado em 16/05/2017
56,AGRICOLA BEBEDOURO SA,Cancelado em 14/02/2012
57,AGRICOLA BEIRA RIO SA,Cancelado em 21/11/2000
58,AGRICOLA MISTA MARAJOARA SA  - AGRIMAR,Cancelado em 21/10/2009
59,AGRICOLA NOVO HORIZONTE SA,Cancelado em 14/02/2012
60,AGRICOLA VALE DO MANGEREBA SA,Cancelado em 23/12/1993
61,AGRICOLA VALE DO MENDONCA SA,Cancelado em 28/09/2008
62,AGRÍCOLA VALE VERDE SA,Cancelado em 14/02/2012
63,AGRÍCOLA VALE VERDE SA,Cancelado em 16/09/2014
